Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
path,github.com/GoogleChrome/related-website-sets,https://sourcegraph.com/github.com/GoogleChrome/related-website-sets,third_party/publicsuffix2/public_suffix_list.dat,https://sourcegraph.com/github.com/GoogleChrome/related-website-sets/-/blob/third_party/publicsuffix2/public_suffix_list.dat,"[third_party/publicsuffix2/public_suffix_list.dat, [[26, 48]]]",
path,github.com/djblets/djblets,https://sourcegraph.com/github.com/djblets/djblets,djblets/mail/public_suffix_list.dat,https://sourcegraph.com/github.com/djblets/djblets/-/blob/djblets/mail/public_suffix_list.dat,"[djblets/mail/public_suffix_list.dat, [[13, 35]]]",
path,github.com/niks255/FairEmail,https://sourcegraph.com/github.com/niks255/FairEmail,app/src/main/assets/public_suffix_list.dat,https://sourcegraph.com/github.com/niks255/FairEmail/-/blob/app/src/main/assets/public_suffix_list.dat,"[app/src/main/assets/public_suffix_list.dat, [[20, 42]]]",
path,github.com/6DDUU6/ESurfingDialer-onekey,https://sourcegraph.com/github.com/6DDUU6/ESurfingDialer-onekey,jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/6DDUU6/ESurfingDialer-onekey/-/blob/jre/lib/security/public_suffix_list.dat,"[jre/lib/security/public_suffix_list.dat, [[17, 39]]]",
path,github.com/elliotwutingfeng/go-fasttld,https://sourcegraph.com/github.com/elliotwutingfeng/go-fasttld,test/public_suffix_list.dat,https://sourcegraph.com/github.com/elliotwutingfeng/go-fasttld/-/blob/test/public_suffix_list.dat,"[test/public_suffix_list.dat, [[5, 27]]]",
path,github.com/1Password/passkey-rs,https://sourcegraph.com/github.com/1Password/passkey-rs,public-suffix/public_suffix_list.dat,https://sourcegraph.com/github.com/1Password/passkey-rs/-/blob/public-suffix/public_suffix_list.dat,"[public-suffix/public_suffix_list.dat, [[14, 36]]]",
path,github.com/shmilylty/OneForAll,https://sourcegraph.com/github.com/shmilylty/OneForAll,data/public_suffix_list.dat,https://sourcegraph.com/github.com/shmilylty/OneForAll/-/blob/data/public_suffix_list.dat,"[data/public_suffix_list.dat, [[5, 27]]]",
path,github.com/fit-project/fit,https://sourcegraph.com/github.com/fit-project/fit,pyinstaller/windows/whois/data/public_suffix_list.dat,https://sourcegraph.com/github.com/fit-project/fit/-/blob/pyinstaller/windows/whois/data/public_suffix_list.dat,"[pyinstaller/windows/whois/data/public_suffix_list.dat, [[31, 53]]]",
path,github.com/superdesk/web-publisher,https://sourcegraph.com/github.com/superdesk/web-publisher,src/SWP/Component/MultiTenancy/public_suffix_list.dat,https://sourcegraph.com/github.com/superdesk/web-publisher/-/blob/src/SWP/Component/MultiTenancy/public_suffix_list.dat,"[src/SWP/Component/MultiTenancy/public_suffix_list.dat, [[31, 53]]]",
path,github.com/Blueforcer/awtrix3,https://sourcegraph.com/github.com/Blueforcer/awtrix3,AWL_Backup/build/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/Blueforcer/awtrix3/-/blob/AWL_Backup/build/lib/security/public_suffix_list.dat,"[AWL_Backup/build/lib/security/public_suffix_list.dat, [[30, 52]]]",
path,github.com/shy-neon/Favman,https://sourcegraph.com/github.com/shy-neon/Favman,Favman/Favtool/Views/Favtool 4.0.1/Favtool.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat,https://sourcegraph.com/github.com/shy-neon/Favman/-/blob/Favman/Favtool/Views/Favtool%204.0.1/Favtool.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat,"[Favman/Favtool/Views/Favtool 4.0.1/Favtool.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat, [[118, 140]]]",
path,github.com/shy-neon/Favman,https://sourcegraph.com/github.com/shy-neon/Favman,Favman/Favtool/Views/Favtool 4.0.1/Favtool 2.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat,https://sourcegraph.com/github.com/shy-neon/Favman/-/blob/Favman/Favtool/Views/Favtool%204.0.1/Favtool%202.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat,"[Favman/Favtool/Views/Favtool 4.0.1/Favtool 2.app/Contents/Resources/PublicSuffix_PublicSuffix.bundle/Contents/Resources/public_suffix_list.dat, [[120, 142]]]",
path,github.com/bancika/diy-layout-creator,https://sourcegraph.com/github.com/bancika/diy-layout-creator,diylc/diylc-swing/tools/jre/osx/jre8u321/Contents/Home/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/bancika/diy-layout-creator/-/blob/diylc/diylc-swing/tools/jre/osx/jre8u321/Contents/Home/lib/security/public_suffix_list.dat,"[diylc/diylc-swing/tools/jre/osx/jre8u321/Contents/Home/lib/security/public_suffix_list.dat, [[68, 90]]]",
path,github.com/bancika/diy-layout-creator,https://sourcegraph.com/github.com/bancika/diy-layout-creator,diylc/diylc-swing/tools/jre/osx/zulu-17.jre/Contents/Home/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/bancika/diy-layout-creator/-/blob/diylc/diylc-swing/tools/jre/osx/zulu-17.jre/Contents/Home/lib/security/public_suffix_list.dat,"[diylc/diylc-swing/tools/jre/osx/zulu-17.jre/Contents/Home/lib/security/public_suffix_list.dat, [[71, 93]]]",
path,github.com/Stratus-Security/Subdominator,https://sourcegraph.com/github.com/Stratus-Security/Subdominator,Subdominator/public_suffix_list.dat,https://sourcegraph.com/github.com/Stratus-Security/Subdominator/-/blob/Subdominator/public_suffix_list.dat,"[Subdominator/public_suffix_list.dat, [[13, 35]]]",
path,github.com/Steve987321/toadclient,https://sourcegraph.com/github.com/Steve987321/toadclient,vendor/JDK/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/Steve987321/toadclient/-/blob/vendor/JDK/lib/security/public_suffix_list.dat,"[vendor/JDK/lib/security/public_suffix_list.dat, [[24, 46]]]",
path,github.com/orb-community/pktvisor,https://sourcegraph.com/github.com/orb-community/pktvisor,libs/visor_dns/tests/public_suffix_list.dat,https://sourcegraph.com/github.com/orb-community/pktvisor/-/blob/libs/visor_dns/tests/public_suffix_list.dat,"[libs/visor_dns/tests/public_suffix_list.dat, [[21, 43]]]",
path,git.savannah.gnu.org/git/dragora,https://sourcegraph.com/git.savannah.gnu.org/git/dragora,archive/libpsl/public_suffix_list.dat,https://sourcegraph.com/git.savannah.gnu.org/git/dragora/-/blob/archive/libpsl/public_suffix_list.dat,"[archive/libpsl/public_suffix_list.dat, [[15, 37]]]",
path,github.com/gumob/TLDExtractSwift,https://sourcegraph.com/github.com/gumob/TLDExtractSwift,Resources/public_suffix_list.dat,https://sourcegraph.com/github.com/gumob/TLDExtractSwift/-/blob/Resources/public_suffix_list.dat,"[Resources/public_suffix_list.dat, [[10, 32]]]",
path,github.com/starmcc/qs-beanfun,https://sourcegraph.com/github.com/starmcc/qs-beanfun,build/jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/starmcc/qs-beanfun/-/blob/build/jre/lib/security/public_suffix_list.dat,"[build/jre/lib/security/public_suffix_list.dat, [[23, 45]]]",
path,github.com/DC801/BM-Badge,https://sourcegraph.com/github.com/DC801/BM-Badge,Software/Programmer/Release/DC801 Badge Programmer/runtime/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/DC801/BM-Badge/-/blob/Software/Programmer/Release/DC801%20Badge%20Programmer/runtime/lib/security/public_suffix_list.dat,"[Software/Programmer/Release/DC801 Badge Programmer/runtime/lib/security/public_suffix_list.dat, [[72, 94]]]",
path,github.com/Intsights/PyDomainExtractor,https://sourcegraph.com/github.com/Intsights/PyDomainExtractor,src/public_suffix_list.dat,https://sourcegraph.com/github.com/Intsights/PyDomainExtractor/-/blob/src/public_suffix_list.dat,"[src/public_suffix_list.dat, [[4, 26]]]",
path,github.com/ko-zu/psl,https://sourcegraph.com/github.com/ko-zu/psl,publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/ko-zu/psl/-/blob/publicsuffixlist/public_suffix_list.dat,"[publicsuffixlist/public_suffix_list.dat, [[17, 39]]]",
path,src.fedoraproject.org/rpms/publicsuffix-list,https://sourcegraph.com/src.fedoraproject.org/rpms/publicsuffix-list,public_suffix_list.dat,https://sourcegraph.com/src.fedoraproject.org/rpms/publicsuffix-list/-/blob/public_suffix_list.dat,"[public_suffix_list.dat, [[0, 22]]]",
path,github.com/Funsiooo/chunsou,https://sourcegraph.com/github.com/Funsiooo/chunsou,modules/plugins/OneForAll/data/public_suffix_list.dat,https://sourcegraph.com/github.com/Funsiooo/chunsou/-/blob/modules/plugins/OneForAll/data/public_suffix_list.dat,"[modules/plugins/OneForAll/data/public_suffix_list.dat, [[31, 53]]]",
path,github.com/anthunt/AWS2Terraform,https://sourcegraph.com/github.com/anthunt/AWS2Terraform,terraform-generator-shell/jdk-11.0.9+11-jre/lib/security/public_suffix_list.dat,https://sourcegraph.com/github.com/anthunt/AWS2Terraform/-/blob/terraform-generator-shell/jdk-11.0.9%2B11-jre/lib/security/public_suffix_list.dat,"[terraform-generator-shell/jdk-11.0.9+11-jre/lib/security/public_suffix_list.dat, [[57, 79]]]",
path,github.com/taomujian/linbing,https://sourcegraph.com/github.com/taomujian/linbing,python/app/thirdparty/oneforall/data/public_suffix_list.dat,https://sourcegraph.com/github.com/taomujian/linbing/-/blob/python/app/thirdparty/oneforall/data/public_suffix_list.dat,"[python/app/thirdparty/oneforall/data/public_suffix_list.dat, [[37, 59]]]",
